Temperature (C)	Pressure (MPa)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
23.000	27.500	0.28006	3.5706	170.48	268.67	5.0256	0.79189	1.3528	467.37	0.36881	2.5693e-05	0.042806	supercritical
23.000	27.550	0.28045	3.5656	170.41	268.65	5.0249	0.79195	1.3529	467.67	0.36677	2.5712e-05	0.042840	supercritical
23.000	27.600	0.28084	3.5607	170.35	268.62	5.0242	0.79201	1.3531	467.97	0.36473	2.5731e-05	0.042875	supercritical
23.000	27.650	0.28123	3.5557	170.28	268.60	5.0235	0.79207	1.3533	468.27	0.36269	2.5750e-05	0.042910	supercritical
23.000	27.700	0.28162	3.5508	170.22	268.57	5.0228	0.79213	1.3535	468.57	0.36066	2.5770e-05	0.042945	supercritical
23.000	27.750	0.28201	3.5459	170.15	268.55	5.0221	0.79219	1.3537	468.87	0.35864	2.5789e-05	0.042979	supercritical
23.000	27.800	0.28240	3.5411	170.08	268.52	5.0215	0.79225	1.3539	469.16	0.35662	2.5808e-05	0.043014	supercritical
23.000	27.850	0.28279	3.5362	170.02	268.50	5.0208	0.79231	1.3541	469.46	0.35460	2.5828e-05	0.043049	supercritical
23.000	27.900	0.28318	3.5314	169.95	268.48	5.0201	0.79237	1.3542	469.76	0.35259	2.5847e-05	0.043084	supercritical
23.000	27.950	0.28356	3.5265	169.89	268.45	5.0194	0.79243	1.3544	470.06	0.35058	2.5866e-05	0.043118	supercritical
23.000	28.000	0.28395	3.5217	169.82	268.43	5.0187	0.79249	1.3546	470.36	0.34858	2.5886e-05	0.043153	supercritical
23.000	28.050	0.28434	3.5170	169.76	268.41	5.0181	0.79255	1.3548	470.66	0.34658	2.5905e-05	0.043188	supercritical
23.000	28.100	0.28472	3.5122	169.69	268.38	5.0174	0.79261	1.3550	470.96	0.34459	2.5924e-05	0.043223	supercritical
23.000	28.150	0.28511	3.5075	169.62	268.36	5.0167	0.79267	1.3551	471.26	0.34260	2.5944e-05	0.043257	supercritical
23.000	28.200	0.28549	3.5027	169.56	268.34	5.0161	0.79273	1.3553	471.56	0.34062	2.5963e-05	0.043292	supercritical
23.000	28.250	0.28588	3.4980	169.49	268.31	5.0154	0.79279	1.3555	471.86	0.33864	2.5982e-05	0.043327	supercritical
23.000	28.300	0.28626	3.4933	169.43	268.29	5.0147	0.79285	1.3557	472.16	0.33667	2.6002e-05	0.043361	supercritical
23.000	28.350	0.28664	3.4887	169.36	268.27	5.0141	0.79291	1.3558	472.46	0.33470	2.6021e-05	0.043396	supercritical
23.000	28.400	0.28703	3.4840	169.30	268.24	5.0134	0.79297	1.3560	472.76	0.33273	2.6040e-05	0.043431	supercritical
23.000	28.450	0.28741	3.4794	169.23	268.22	5.0127	0.79303	1.3562	473.06	0.33077	2.6060e-05	0.043465	supercritical
23.000	28.500	0.28779	3.4748	169.17	268.20	5.0121	0.79309	1.3564	473.36	0.32882	2.6079e-05	0.043500	supercritical
23.000	28.550	0.28817	3.4702	169.10	268.18	5.0114	0.79315	1.3565	473.66	0.32687	2.6099e-05	0.043535	supercritical
23.000	28.600	0.28855	3.4656	169.04	268.16	5.0107	0.79321	1.3567	473.97	0.32492	2.6118e-05	0.043570	supercritical
23.000	28.650	0.28893	3.4610	168.98	268.13	5.0101	0.79326	1.3569	474.27	0.32298	2.6137e-05	0.043604	supercritical
23.000	28.700	0.28931	3.4565	168.91	268.11	5.0094	0.79332	1.3570	474.57	0.32104	2.6157e-05	0.043639	supercritical
23.000	28.750	0.28969	3.4519	168.85	268.09	5.0088	0.79338	1.3572	474.87	0.31911	2.6176e-05	0.043674	supercritical
23.000	28.800	0.29007	3.4474	168.78	268.07	5.0081	0.79344	1.3574	475.17	0.31718	2.6195e-05	0.043708	supercritical
23.000	28.850	0.29045	3.4429	168.72	268.05	5.0075	0.79350	1.3575	475.47	0.31526	2.6215e-05	0.043743	supercritical
23.000	28.900	0.29083	3.4385	168.65	268.03	5.0068	0.79356	1.3577	475.77	0.31334	2.6234e-05	0.043778	supercritical
23.000	28.950	0.29121	3.4340	168.59	268.00	5.0062	0.79362	1.3579	476.07	0.31142	2.6254e-05	0.043812	supercritical
23.000	29.000	0.29158	3.4296	168.53	267.98	5.0055	0.79368	1.3580	476.37	0.30951	2.6273e-05	0.043847	supercritical
23.000	29.050	0.29196	3.4251	168.46	267.96	5.0049	0.79374	1.3582	476.67	0.30761	2.6293e-05	0.043882	supercritical
23.000	29.100	0.29234	3.4207	168.40	267.94	5.0042	0.79379	1.3583	476.97	0.30571	2.6312e-05	0.043916	supercritical
23.000	29.150	0.29271	3.4163	168.33	267.92	5.0036	0.79385	1.3585	477.28	0.30381	2.6331e-05	0.043951	supercritical
23.000	29.200	0.29309	3.4120	168.27	267.90	5.0029	0.79391	1.3587	477.58	0.30192	2.6351e-05	0.043986	supercritical
23.000	29.250	0.29346	3.4076	168.21	267.88	5.0023	0.79397	1.3588	477.88	0.30003	2.6370e-05	0.044020	supercritical
23.000	29.300	0.29384	3.4033	168.14	267.86	5.0016	0.79403	1.3590	478.18	0.29815	2.6390e-05	0.044055	supercritical
23.000	29.350	0.29421	3.3989	168.08	267.84	5.0010	0.79409	1.3591	478.48	0.29627	2.6409e-05	0.044089	supercritical
23.000	29.400	0.29458	3.3946	168.02	267.82	5.0003	0.79415	1.3593	478.78	0.29439	2.6429e-05	0.044124	supercritical
23.000	29.450	0.29496	3.3903	167.95	267.80	4.9997	0.79420	1.3594	479.09	0.29252	2.6448e-05	0.044159	supercritical
23.000	29.500	0.29533	3.3860	167.89	267.78	4.9991	0.79426	1.3596	479.39	0.29066	2.6468e-05	0.044193	supercritical
23.000	29.550	0.29570	3.3818	167.83	267.76	4.9984	0.79432	1.3597	479.69	0.28879	2.6487e-05	0.044228	supercritical
23.000	29.600	0.29607	3.3775	167.77	267.74	4.9978	0.79438	1.3599	479.99	0.28694	2.6507e-05	0.044263	supercritical
23.000	29.650	0.29645	3.3733	167.70	267.72	4.9972	0.79444	1.3600	480.29	0.28508	2.6526e-05	0.044297	supercritical
23.000	29.700	0.29682	3.3691	167.64	267.70	4.9965	0.79449	1.3602	480.59	0.28324	2.6546e-05	0.044332	supercritical
23.000	29.750	0.29719	3.3649	167.58	267.68	4.9959	0.79455	1.3603	480.90	0.28139	2.6565e-05	0.044366	supercritical
23.000	29.800	0.29756	3.3607	167.51	267.66	4.9953	0.79461	1.3605	481.20	0.27955	2.6585e-05	0.044401	supercritical
23.000	29.850	0.29793	3.3565	167.45	267.64	4.9946	0.79467	1.3606	481.50	0.27772	2.6604e-05	0.044436	supercritical
23.000	29.900	0.29829	3.3524	167.39	267.63	4.9940	0.79473	1.3608	481.80	0.27589	2.6624e-05	0.044470	supercritical
23.000	29.950	0.29866	3.3482	167.33	267.61	4.9934	0.79478	1.3609	482.11	0.27406	2.6643e-05	0.044505	supercritical
23.000	30.000	0.29903	3.3441	167.26	267.59	4.9927	0.79484	1.3611	482.41	0.27224	2.6663e-05	0.044539	supercritical
